Nr	Sent	score	fi	punc	adv	itj	other	blocked
0	Aber fahr fort.« – Johannes erzählte nun, wie sie glücklich durch P. und über die Grenze gekommen.	1	0	0	1	0	0	true
1	Friedrich stand vor ihr und hatte sie schon zweimal angeredet.	4	1	0	2	0	0	false
2	sie war geschlossen.	0	0	0	0	0	0	false
3	Auf der Hochzeit ging's lustig zu.	0	0	0	0	0	0	false
4	Friedrichs Vater, der alte Hermann Mergel, war in seinem Junggesellenstande ein sogenannter ordentlicher Säufer, d.h. einer, der nur an Sonn- und Festtagen in der Rinne lag und die Woche hindurch so manierlich war wie ein anderer.	3	0	0	3	0	0	false
5	So saß sie eine Weile, starr mit geklemmten Lippen, wie in völliger Geistesabwesenheit.	1	0	0	1	0	0	false
6	– »Sonderbar!« lachte er, »so nah wart ihr einander!	3	0	2	1	0	0	true
7	Friedrich stand unschlüssig; er hörte ein leises Geräusch; die Wolken verzogen sich, das Mondlicht fiel wieder auf die Kammertür:	1	0	0	1	0	0	false
8	So war denn auch seine Bewerbung um ein recht hübsches und wohlhabendes Mädchen ihm nicht erschwert.	3	0	0	3	0	0	false
9	Was willst du?« rief sie auffahrend.	0	0	1	0	0	0	true
10	–	0	0	0	0	0	0	true
11	Das war freilich ein großer Skandal und Ärger für Mergel, der allerdings Trostes bedurfte.	2	0	0	2	0	0	false
12	– »Ich bringe Euch Geld,« sagte er, mehr erstaunt als erschreckt.	1	0	0	1	0	0	true
13	– In Freiburg hatten sie sich von den Österreichern anwerben lassen; ihn hatte man nicht gewollt, aber Friedrich bestand darauf.	0	0	0	0	0	0	true
14	»Was ist's?	2	0	1	0	0	0	true
15	Von da an hatten sie sich als wandernde Handwerksbursche durchgebettelt bis Freiburg im Breisgau.	1	0	0	1	0	0	false
16	Friedrich ging an diesem Morgen nicht zur Beichte.	0	0	0	0	0	0	false
17	Mergel war gar nicht zu arg betrunken, und die Eltern der Braut gingen abends vergnügt heim; aber am nächsten Sonntage sah man die junge Frau schreiend und blutrünstig durchs Dorf zu den Ihrigen rennen, alle ihre guten Kleider und neues Hausgerät im Stich lassend.	3	0	0	3	0	0	false
18	»Ich hatte meinen Brodsack bei mir,« sagte er, »und Friedrich ein Bündelchen; so glaubte man uns.«	1	0	0	1	0	0	true
19	Wer zweifelt daran, daß Simon alles tat, seinen Adoptivsohn dieselben Wege zu leiten, die er selber ging?	3	0	1	1	0	0	false
20	Die junge Frau blieb bei ihren Eltern, wo sie bald verkümmerte und starb.	1	0	0	1	0	0	false
21	Wo?«	0	0	1	0	0	0	true
22	»Den Winter über blieben wir in Freiburg,« fuhr er fort, »und es ging uns ziemlich gut; mir auch, weil Friedrich mich oft erinnerte und mir half, wenn ich etwas verkehrt machte.	4	0	0	4	0	0	true
23	Der Eindruck, den dieser Vorfall auf Friedrich gemacht, erlosch leider nur zu bald.	3	0	0	3	0	0	false
24	So war denn auch am Nachmittage keine Scheibe an seinem Hause mehr ganz, und man sah ihn noch bis spät in dieNacht vor der Türschwelle liegen, einen abgebrochenen Flaschenhals von Zeit zu Zeit zum Munde führend und sich Gesicht und Hände jämmerlich zerschneidend.	7	0	0	7	0	0	false
25	So kam er unter den Train.	1	0	0	1	0	0	false
26	– »Geld?	2	0	1	0	0	0	true
27	Die Wirtschaft verfiel; fremde Mägde brachten Schimpf und Schaden; so verging Jahr auf Jahr.	1	0	0	1	0	0	false
28	Friedrich hob sie auf.	0	0	0	0	0	0	false
29	Ich kann nicht viel davon nachsagen, denn ich wurde gleich in der ersten Affaire gefangen und bin seitdem sechsundzwanzig Jahre in der türkischen Sklaverei gewesen!«	2	0	1	2	0	0	true
30	Man darf nur sagen, er gewöhnte sich zu prunken, während seine Mutter darbte.	1	0	0	1	0	0	false
31	Mergel war und blieb ein verlegener und zuletzt ziemlich armseliger Witwer, bis er mit einemmale wieder als Bräutigam auftrat.	4	0	0	4	0	0	false
32	Und in Friedrich lagen Eigenschaften, die dies nur zu sehr erleichterten: Leichtsinn, Erregbarkeit, und vor allem ein grenzenloser Hochmut, der nicht immer den Schein verschmähte, und dann alles daran setzte, durch Wahrmachung des Usurpierten möglicher Beschämung zu entgehen.	4	0	0	4	0	0	false
33	Ob nun den Mergel Reue quälte oder Scham, genug, er schien der Trostmittel immer bedürftiger und fing bald an, den gänzlich verkommenen Subjekten zugezählt zu werden.	4	0	0	4	0	0	false
34	Im Frühling mußten wir marschieren, nach Ungarn, und im Herbst ging der Krieg mit den Türken los.	0	0	0	0	0	0	true
35	Sie regte sich und die kleine Münze fiel klingend auf den Boden.	0	0	0	0	0	0	false
36	Seine Natur war nicht unedel, aber er gewöhnte sich, die innere Schande der äußern vorzuziehen.	0	0	0	0	0	0	false
37	Ich kann mir nun selber was verdienen.«	2	0	0	2	0	0	true
38	Das ist doch schrecklich!« sagte Frau von S. – »Schlimm genug; die Türken halten uns Christen nicht besser als Hunde; das schlimmste war, daß meine Kräfte unter der harten Arbeit vergingen; ich ward auch älter und sollte noch immer tun wie vor Jahren.«	5	0	1	5	0	0	true
39	Sie wurde scheu, saumselig, sogar unordentlich, und manche meinten, ihr Kopf habe gelitten.	1	0	0	1	0	0	false
40	Margareth Semmler war eine brave, anständige Person, so in den Vierzigen, in ihrer Jugend eine Dorfschönheit und noch jetzt als sehr klug und wirtlich geachtet, dabei nicht unvermögend; und so mußte es jedem unbegreiflich sein, was sie zu diesem Schritte getrieben.	7	1	0	5	0	0	false
41	Er schwieg eine Weile.	0	0	0	0	0	0	false
42	– »Gott im Himmel!	2	0	1	0	0	0	true
43	»Geld vom Ohm Simon, weil ich ihm habe arbeiten helfen.	0	0	0	0	0	0	true
44	Diese unglückliche Wendung seines Charakters war indessen das Werk mehrerer Jahre, in denen man bemerkte, daß Margreth immer stiller über ihren Sohn ward und allmählich in einen Zustand der Verkommenheit versank, den man früher bei ihr für unmöglich gehalten hätte.	2	0	0	2	0	0	false
45	War die Sache an und für sich unerwartet, so trug die Persönlichkeit der Braut noch dazu bei, die Verwunderung zu erhöhen.	2	0	0	2	0	0	false
46	Er war äußerlich ordentlich, nüchtern, anscheinend treuherzig, aber listig, prahlerisch und oft roh, ein Mensch, an dem niemand Freude haben konnte, am wenigsten seine Mutter, und der dennoch durch seine gefürchtete Kühnheit und noch mehr gefürchtete Tücke ein gewisses Übergewicht im Dorfe erlangt hatte, das um so mehr anerkannt wurde, je mehr man sich bewußt war, ihn nicht zu kennen und nicht berechnen zu können, wessen er am Ende fähig sei.	8	0	0	8	0	0	false
47	Am Abend vor der Hochzeit soll sie gesagt haben:	0	0	0	0	0	0	false
48	– Von da kam ich auf ein holländisches Schiff.«	1	0	0	1	0	0	true
49	– Nein, gib's den Armen.	2	1	0	0	0	0	true
50	– »Geld vom Simon?	2	0	1	0	0	0	true
51	Friedrich ward desto lauter; er versäumte keine Kirchweih oder Hochzeit, und da ein sehr empfindliches Ehrgefühl ihn die geheime Mißbilligung mancher nicht übersehen ließ, war er gleichsam immer unter Waffen, der öffentlichen Meinung nicht sowohl Trotz zu bieten, als sie den Weg zu leiten, der ihm gefiel.	5	0	0	5	0	0	false
52	Wir glauben den Grund eben in dieser ihrer selbstbewußten Vollkommenheit zu finden.	3	1	0	1	0	0	true
53	Wirf's fort, fort!	2	0	1	0	0	0	false
54	»Ja,« sagte er dann, »es ging über Menschenkräfte und Menschengeduld; ich hielt es auch nicht aus.	2	1	0	2	0	0	true
55	–––––––––––	0	0	0	0	0	0	true
56	Der Erfolg zeigte leider, daß sie ihre Kräfte überschätzt hatte.	1	0	0	1	0	0	false
57	– »Sie fischten mich auf, aus dem Bosporus,« versetzte Johannes.	0	0	0	0	0	0	true
58	Wer weiß, ob wir bei dem Betteln vorbeikommen!«	0	0	1	0	0	0	true
59	Vier Jahre waren verflossen; es war im Oktober; der milde Herbst von 1760, der alle Scheunen mit Korn und alle Keller mit Wein füllte, hatte seinen Reichtum auch über diesen Erdwinkel strömen lassen, und man sah mehr Betrunkene, hörte von mehr Schlägereien und dummen Streichen, als je.	2	0	0	2	0	0	false
60	Nur ein Bursch im Dorfe, Wilm Hülsmeyer,wagte im Bewußtsein seiner Kraft und guter Verhältnisse ihm die Spitze zu bieten; und da er gewandter in Worten war, als Friedrich, und immer, wenn der Stachel saß, einen Scherz daraus zu machen wußte, so war dies der einzige, mit dem Friedrich ungern zusammentraf.	4	0	0	4	0	0	false
61	»Eine Frau, die von ihrem Manne übel behandelt wird, ist dumm oder taugt nicht: wenn's mir schlecht geht, so sagt, es liege an mir.«	1	0	0	1	0	0	true
62	Doch, nein, behalt's,« flüsterte sie kaum hörbar; »wir sind selber arm.	2	1	0	2	0	0	true
63	– »Wie kamst du denn dahin?« fragte der Gutsherr.	1	0	1	1	0	0	true
64	Auf dem Schiffe war es ihm nicht viel besser gegangen.	1	0	0	1	0	0	false
65	– »Du wieder zu ihm?	3	0	1	1	0	0	true
66	Da gab es im Dorfe eine tüchtige, solide Hochzeit, und die Gäste durften mehr erwarten, als eine verstimmte Geige, ein Glas Branntwein und was sie an guter Laune selber mitbrachten.	2	0	0	2	0	0	false
67	Es hieß, an diesem Tage habe Mergel zuerst Hand an sie gelegt, obwohl das Bekenntnis nie über ihre Lippen kam.	2	0	0	2	0	0	false
68	Anfangs imponierte sie ihrem Manne; er kam nicht nach Haus oder kroch in die Scheune, wenn er sich übernommen hatte; aber das Joch war zu drückend, um lange getragen zu werden, und bald sah man ihn oft genug quer über die Gasse ins Haus taumeln, hörte drinnen sein wüstes Lärmen und sah Margreth eilends Tür und Fenster schließen.	8	0	0	8	0	0	false
69	– »Ich soll Montag wieder zum Ohm und ihm bei der Einsaat helfen.«	1	0	0	1	0	0	true
70	Der Baron sah ihn befremdet an und hob den Finger warnend auf; aber Johannes erzählte weiter.	0	0	0	0	0	0	false
71	Überall gab's Lustbarkeiten; der blaue Montag kam in Aufnahme, und wer ein paar Taler erübrigt hatte, wollte gleich eine Frau dazu, die ihm heute essen und morgen hungern helfen könne.	8	2	0	4	0	0	false
72	An einem solchen Tage – keinem Sonntage mehr – sah man sie abends aus dem Hause stürzen, ohne Haube und Halstuch, das Haar wild um den Kopf hängend, sich im Garten neben ein Krautbeet niederwerfen und die Erde mit den Händen aufwühlen, dann ängstlich um sich schauen, rasch ein Bündel Kräuter brechen und damit langsam wieder dem Hause zugehen, aber nicht hinein, sondern in die Scheune.	5	0	0	5	0	0	true
73	– Sie umfaßte ihr Kind mit Heftigkeit.	0	0	0	0	0	0	true
74	Da viele Auswärtige erwartet wurden, wollte jeder gern die Ehre des Dorfes oben halten.	2	0	0	2	0	0	false
75	Dennoch, obwohl unter einem Herzen voll Gram getragen, war Friedrich ein gesundes, hübsches Kind, das in der frischen Luft kräftig gedieh.	1	0	0	1	0	0	false
76	– »Doch,« fügte sie hinzu, und ein Tränenstrom stürzte ihr plötzlich über die eingefallenen Wangen; »geh, er ist mein einziger Bruder, und die Verleumdung ist groß!	2	0	1	0	0	0	true
77	Aber« – er schüttelte den Kopf – »ich bettelte mich lieber durch bis hieher.«	3	0	0	3	0	0	true
78	Nein, nein, nimmermehr!«	1	2	1	1	0	0	true
79	»Der Skorbut riß ein; wer nicht ganz elend war, mußte über Macht arbeiten, und das Schiffstau regierte ebenso streng wie die türkische Peitsche.	2	0	0	2	0	0	true
80	Seit früh war alles auf den Beinen; vor jeder Tür wurden Kleider gelüftet, und B. glich den ganzen Tag einer Trödelbude.	0	0	0	0	0	0	false
81	Das zweite Jahr dieser unglücklichen Ehe ward mit einem Sohne, man kann nicht sagen erfreut, denn Margreth soll sehr geweinthaben, als man ihr das Kind reichte.	1	0	0	1	0	0	false
82	Endlich,« schloß er, »als wir nach Holland kamen, nach Amsterdam, ließ man mich frei, weil ich unbrauchbar war, und der Kaufmann, dem das Schiff gehörte, hatte auch Mitleiden mit mir und wollte mich zu seinem Pförtner machen.	2	0	0	2	0	0	true
83	Auf der Tenne ward getanzt, das heißt, wer zwei Fuß Raum erobert hatte, drehte sich darauf immer rundum und suchte durch Jauchzen zu ersetzen, was an Bewegung fehlte.	2	0	0	2	0	0	false
84	Friedrich stand in seinem neunten Jahre.	0	0	0	0	0	0	false
85	Margreth legte das Gesicht an die Mauer und weinte laut.	0	0	0	0	0	0	false
86	– Johannes seufzte tief: »O Herr, ich habe mein Leben zwischen Türken und Ketzern zubringen müssen, soll ich nicht wenigstens auf einem katholischen Kirchhofe liegen?«	1	0	1	1	0	0	true
87	Es war sieben Uhr abends und alles in vollem Gange; Jubel und Gelächter an allen Enden, die niedern Stuben zum Ersticken angefüllt mit blauen, roten und gelben Gestalten, gleich Pfandställen, in denen eine zu große Herde eingepfercht ist.	2	0	0	2	0	0	false
88	Der Vater hatte ihn sehr lieb, kam nie nach Hause, ohne ihm ein Stückchen Wecken oder dergleichen mitzubringen, und man meinte sogar, er sei seit der Geburt des Knaben ordentlicher geworden; wenigstens ward der Lärmen im Hause geringer.	4	0	0	4	0	0	false
89	– »Das war dumm genug,« sagte der Gutsherr.	1	0	0	1	0	0	true
90	Aber halt Gott vor Augen und vergiß das tägliche Gebet nicht!«	0	0	1	0	0	0	true
91	Hermann war zu einer Hochzeit gegangen und hatte sich schon beizeiten auf den Weg gemacht, da das Brauthaus Dreiviertelmeilen entfernt lag.	4	1	0	2	0	0	false
92	Aber so war ihr nie zumute gewesen; dennoch, nachdem sie einen Abend durchgeweint, eine Nacht durchwacht hatte, war sie dahin gekommen, zu denken, ihr Bruder Simon könne so gottlos nicht sein, der Knabe gehöre gewiß nicht ihm, Ähnlichkeiten wollen nichts beweisen.	6	0	0	6	0	0	false
93	»Da, Johannes, nun geh und komm bald wieder.	4	0	0	4	0	0	true
94	Als auch die Gutsherrschaft anlangte, saß er gerade hinter der Baßgeige und strich die tiefste Saite mit großer Kraft und vielem Anstand.	2	0	0	2	0	0	false
95	Obgleich er versprochen hatte, abends wiederzukommen, rechnete Frau Mergel doch um so weniger darauf, da sich nach Sonnenuntergang dichtes Schneegestöber eingestellt hatte.	4	0	0	4	0	0	false
96	Das Orchester war glänzend, die erste Geige als anerkannte Künstlerin prädominierend, die zweite und eine große Baßviole mit drei Saiten von Dilettanten ad libitum gestrichen; Branntwein und Kaffee im Überfluß, alle Gäste von Schweiß triefend; kurz, es war ein köstliches Fest.	0	0	0	0	0	0	false
97	Es war um das Fest der heiligen drei Könige, eine harte, stürmische Winternacht.	0	0	0	0	0	0	false
98	Der Gutsherr hatte seine Börse gezogen:	0	0	0	0	0	0	false
99	Sie hatte manche harte Last getragen, ihres Mannes üble Behandlung, noch schwerer seinen Tod, und es war eine bittere Stunde, als die Witwe das letzte Stück Ackerland einem Gläubiger zur Nutznießung überlassen mußte und der Pflug vor ihrem Hause stillestand.	1	0	0	1	0	0	false
100	Friedrich stolzierte umher wie ein Hahn, im neuen himmelblauen Rock, und machte sein Recht als erster Elegant geltend.	0	0	0	0	0	0	false
101	Was glaubt man nicht gern, wenn man so wenig hat und durch Unglauben dies wenige verlieren soll!	4	0	1	2	0	0	false
